titles,content
Debugging with Codey the Rubber Duck,"By Jennifer Walker  I first encountered rubber duck debugging while attending Codeup. Each student had a duck at their seat on the first day of our 18 ½ week advanced full stack web development boot camp. The expression of each duck varied, but they all stared quietly and blankly at us as we took in our surroundings with excitement and anticipation. At the time, I had no idea what it was for or why we needed that bath time friend. Now I do.                  Part of what I love about programming is the problem-solving. However, in the attempt to figure out a software solution the developer very often can get tunnel vision – stuck on solving a problem the same wrong way or just get stumped with no real direction. This is where rubber duck debugging is the most useful. It originated from a book called “The Pragmatic Programmer” by Andrew Hunt and David Thomas. Rubber duck debugging is simple. It includes taking the problem you are trying to solve and explaining it out loud to the rubber duck. This may seem silly because most of us have not talked to inanimate objects since we were kids. However, by doing this it forces a developer to think in a different way and to look at an issue under a microscope. Talking out loud activates a different part of the human brain, which very often helps the developer solve a problem without ever talking to another person. It keeps us from wasting our own time and the time of others when the solution is right at our fingertips. I have experienced this phenomenon myself when I try to explain aspects of programming to people who are not programmers. It forces me to think of programming in a different way. I have to lose the acronyms, and just speak plain English to a person who isn’t such an avid techie like myself. When I do that I walk away with new knowledge and a refreshed passion for what I have been discussing. Photo: Photos By Marvin Pfeiffer / Staff Photographer I also learned later that the rubber duck is the official mascot for Codeup. His name is Codey and he has a special meaning to me beyond just rubber duck debugging. I began to sketch him on the first day of class. Over time he began to express my struggles and triumphs while learning to code. He came alive for me and became a student of Codeup alongside me during my time there. If I had a bad day, he totally understood because he was in the fire with me. If I struggled to understand a concept, he got that too and listened while I talked to him about what I was trying to do. Now, as a proud graduate of Codeup working as a software developer at a fantastic company, I keep Codey with me. He is in my car and at my desk at work. He also sits on my desk at home – waiting patiently to hear my struggles and what I am trying to solve for that day. If you do not have a rubber duck for debugging, I suggest you go out and get one!"
From the Service Industry to Software Development,"By Randi Mays  For many teenagers, the path to self-reliance starts in one of two places: a restaurant or retail store. Until it’s time to begin a professional career, you’re working that part-time job stocking shelves, helping irate customers with expired coupons or prepping for the dinner rush. I’d venture to say I’m one of the very few who was sad to leave that lifestyle behind. I worked in the food service and retail industries for 10 years before I attended Codeup. I took great pride in my work every day; I couldn’t go home until everything was near perfect: my work area spotless, the shelves neatly stocked and everything ready for the next shift. When it came time to leave the service industry and move on to professional work, I was initially reluctant. I had found great personal fulfillment and success in customer service. Why would I want to leave?  I have big dreams. Of course I want to travel the world, spending my vacations in exotic destinations, trying new foods, seeing centuries-old architecture, and making lasting memories. But more importantly, I wanted to work for a company with a more widespread mission than gastronomic satisfaction. I wanted to work alongside people with a passion for their work that ran far deeper than a paycheck. After graduating from Codeup in September 2016, I began working for USAA as a software developer and I can tell you–the company is no stranger to giving. Each employee receives company paid volunteer hours and I used some of mine to volunteer at the San Antonio Food Bank among dozens of other USAA employees. Last year when Hurricane Harvey hit, USAA was quick to organize several volunteer sessions at their home campus to prepare food and other basic necessities to be delivered to people in need. They even have a system where I can automatically deduct a specified amount from my paycheck to give to charitable causes I am passionate about. I have heard story after story about their representatives on the phone going above and beyond their duties to serve members in combat zones and at home. I can’t enumerate here all of the reasons I admire USAA for its community involvement and caring, but I’m sure I’ve made my point. There are times I look back on my experience in food service and retail nostalgically, remembering how I excelled in those positions and enjoyed the repetitive work. Then I come back to the present and remember how big an impact my employer makes serving the military community and their families, and how many lives are changed by the work I do with my team. I find great personal satisfaction and pride in my work every day, and I am just getting started."
Codeup Student Check In: Month 2,"   Codeup welcomed our newest cohort, the Wrangell cohort, on July 23. With the start of this cohort, we are launching a new blog series: the Codeup Student Check In. We’ll interview a student over the course of the 4.5 months to see how things are progressing from first impressions all the way to graduation. Thus, welcome to the Codeup Student Check In: Month 2! We took the time to sit down with our Wrangell student to see how they’ve been doing so far! Codeup: Describe what you’re learning right now. Is it hard/fun/challenging?  Wrangell Student: In this section of the curriculum we are learning about the basics of Java and the building blocks that make up the language. This language is more verbose than previous material, and one of the hardest parts is understanding the instructions and translating them to code.  C: How has the learning process/information gathering been? S: A wide variety of resources are available. In addition to the curriculum, I utilize the Head First Java book and the Oracle documentation. Another challenge is combining the knowledge from all these resources into one. C: How do you feel your skill level compares to last month?  S: Comparing my skill level now with that of last month is no contest. Everyone around me is improving as well and I am excited to see my classmates skill levels growing. Our skills are improving exponentially! C: How have the instructors and staff been helpful? S: The instructors hold study hall before class and after to give us extra help. They’re constantly posting resources in our slack channel and encouraging us to ask questions. They have no problem going back to review material or clarify any questions we have. At the same time, they encourage our learning. They don’t give us the answer if it’s obvious or an easily searchable question. C: Share a fun experience you had at Codeup! Our great staff gave us some very cool thermoses. I’m a diehard sticker fan. I immediately ordered coding and anime related stickers for this thermos and they’re going straight on the thermos the moment they come in! C: What has been the most memorable part of this month and has anything exciting happened? S: Codeup expanded onto the 6th floor of the Vogue building, so we’re coding in a totally different environment. It’s full of natural light, which makes me very happy. I personally love heights so it’s great to look out the windows while taking a break from coding. Something exciting that happened was that I got my first star! Instructors give us stars for asking good questions. I’m the type of person who needs to google the answer first before asking something. I wouldn’t want to ask something that is easily available on the internet. However, Java is very challenging, and I just needed to ask questions and I got a star! Super exciting!  "
Codeup’s Data Science Career Accelerator is Here!,"The rumors are true! The time has arrived. Codeup has officially opened applications to our new Data Science career accelerator, with only 25 seats available! This immersive program is one of a kind in San Antonio, and will help you land a job in Glassdoor’s #1 Best Job in America. Data Science is a method of providing actionable intelligence from data. The data revolution has hit San Antonio, resulting in an explosion in Data Scientist positions across companies like USAA, Accenture, Booz Allen Hamilton, and HEB. We’ve even seen UTSA invest $70 M for a Cybersecurity Center and School of Data Science. We built a program to specifically meet the growing demands of this industry. Our program will be 18 weeks long, full-time, hands-on, and project-based. Our curriculum development and instruction is led by Senior Data Scientist, Maggie Giust, who has worked at HEB, Capital Group, and Rackspace, along with input from dozens of practitioners and hiring partners. Students will work with real data sets, realistic problems, and the entire data science pipeline from collection to deployment. They will receive professional development training in resume writing, interviewing, and continuing education to prepare for a smooth transition to the workforce. We focus on applied data science for immediate impact and ROI in a business, which is how we can back it all up with a 6 month tuition refund guarantee – just like our existing Web Dev program. We’re focusing on Data Science with Python, SQL, and ML, covered in 14 modules: 1) Fundamentals; 2) Applied statistics; 3) SQL; 4) Python; 5) Supervised machine learning – regression; 6) Supervised machine learning – classification; 7) Unsupervised machine learning – clustering; 8) Time series analysis; 9) Anomaly detection; 10) Natural language processing; 11) Distributed machine learning; 12) Advanced topics (deep learning, NoSQL, cloud deployment, etc.); 13) Storytelling with data; and 14) Domain expertise development. Applications are now open for Codeup’s first Data Science cohort, which will start class on February 4, 2019. Hurry – there are only 25 seats available! To further our mission of cultivating inclusive growth, scholarships will be available to women, minorities, LGBTQIA+ individuals, veterans, first responders, and people relocating to San Antonio. If you want to learn about joining our program or hiring our graduates, email datascience@codeup.com!"
From a Recent College Grad to Software Developer,"   I take pride in my bachelor’s degree. Starting my computing career at Trinity University has proven to be extremely important; all the hours spent on algorithm design, data structures, logic are all essential in what I’m doing now. However, it is not an uncommon idea that what colleges teach can sometimes be at an offset to industry demands. I experienced this significant gap between employer expectations and my computing skill-set post college, and with the I-need-a-job-to-get-experience-to-work-for-a-job-that-requires-experience catch that most college graduates experience the first few years of leaving academia, I found myself struggling to find employment. The first year of leaving my university was a humbling yet soul-crushing experience. Why is it that I’ve pursued a degree directly related to such a hungry market for software developers, but I am unable to find a job? Among what seemed like an endless stream of interviews in which I partook, I began to notice a trend – I lacked full stack development experience with relevant programming languages that are currently in demand. Turns out, having the theoretical knowledge isn’t enough for most employers in the market. The industry of software development has evolved throughout the years of its existence, and with its evolution came new programming languages that better suit the needs of its users and the customers it will eventually serve. Ultimately, logical thinking did not trump most self-taught HTML, CSS, Javascript developers that fill the market with highly innovative ideas and projects. As a Trinity graduate who still lived in San Antonio after graduating, I learned more about Codeup from peers who contributed to the curriculum and program’s growth. Some of my classmates in my department also attended the program and found great opportunities within the industry upon graduating the program. At first, I was skeptical of the value Codeup could bring to someone like me who already had experience in programming, albeit in languages that weren’t exactly in demand. But, being unemployed and discouraged for seemingly an eternity, I decided to give it a go. The program was an introduction to programming, which is very different from my experience in college. Since I was verbose in the structure and characteristics of software development, it was easily digestible. The curriculum consisted of introductions to different programming languages, and most importantly, showed me how everything pieced together to form working and aesthetically pleasing products that definitely had the potential to be client facing projects that serve the public. It was an eye-opening experience for me: seeing and experiencing web development with relevant technologies like MVC, ES6, and the Spring Framework. As most of the course material were quickly grasped by my existing mode of thinking, I spent most of my time on the assignments, perfecting them and pushing myself to create difficult effects or programs. The instructors were all extremely helpful and understanding of my background, and were even nice enough to provide me with bonus assignments to push what I’ve learned to its limits. I never would have guessed that Codeup would benefit me in the way it did. Within a week of graduating, I found a job as a Salesforce Developer at a consulting company here in San Antonio. Together with the knowledge I’ve obtained from my degree, I have put everything I learned at Codeup to use: creating real products used by thousands of real users. I wouldn’t be here without the experience I had, not just with the curriculum, but with the excellent career placement staff at Codeup. As cliché as it may sound, the benefits I’ve gotten from the program that acted as supplements to my degree don’t fall far from being life-changing, and I would encourage those who have experienced the same struggles as me in this competitive market to give it a go."
5 Things Codeup Doesn’t Tell You,"I remember during my first day of Codeup I began to doubt my ability to overcome the challenges that lay ahead. I soon learned that what I was experiencing was “impostor syndrome.” Jason Straughan, Codeup’s CEO, introduced us to this phenomenon that same day. Thanks to his kind advice I was able to identify, and overcome my doubts. Codeup shared many valuable lessons with me, but some lessons were taught through exposure outside of the Vogue building. If you decide to enroll at Codeup, you will find yourself learning many things outside the classroom. I realized through my own journey that there are things Codeup didn’t tell me. So, I’ve narrowed it down to the 5 main things I had to learn on my own as a newly placed software developer. You Need to be Multilingual  You need to be adaptable and willing to open your ears to all ideas. They say the best way to learn a different language is through practice. In most of our professional and non-professional lives, relationships will have an assigned lingo to properly cater to that relationship. Furthermore, professional groups and organizations like projectQUEST, H-E-B, and Codeup have their own kind of language. These languages are used to identify and recognize individuals of that group or organization. It is important to keep this in mind before you start ANY application process, or start working with new people. Even though I did not have a college degree, I still had an interest in developing coding skills. I understood early on in my application process that I was in control of my outcome. I assumed determination contained the key to my success, and soon found myself being referred to ProjectQUEST for financial assistance.I would have never known about ProjectQUEST if the Codeup staff had not offered this vital information. The dedication and support offered by these organizations helped me through the multiple application processes. If you plan to visit projectQUEST or Workforce Solutions to inquire about their grants, make sure you’re determined to learn their language, and earn the money. If you have the right amount of determination you can find the proper channels fueling San Antonio’s STEM ecosystem through a simple Google search. Determination is one of the common denominators all Codeup graduates share, and if you too share this similarity, check out the scholarships offered by Codeup. People want jobs, but not everyone wants to work.  via GIPHY Codeup’s mission statement is the following, “At Codeup, we focus on two things: you and your success. Find a job within six months of graduation, or get 50% of your tuition returned.” Let me assure you they deliver in service,  content, and in career guidance. However, the staff cannot force you to either study the curriculum or develop programming skills for you. There are people that come ready to overcome adversity, then there are the few who expect to be fed morning tacos with a silver spoon. If you’re seriously considering Codeup, you need to prepare yourself to manage the beautiful chaos of assignments, interviews, and presentations. My high school soccer coach had a saying, “Do you think Ronaldo is going to parachute from a helicopter and score for you?” We never expected Ronaldo at our high school practices but that was our coach handing down some of his kind wisdom. He used this as a tactic to build the team up before the start of our shooting drills. Ronaldo is a world star player who plays at a professional level so what coach Ramos was really trying to say was, “Work hard if you want the goal. Don’t expect someone to come and score for you!” You need to have a sense of responsibility before embarking on your own journey and launching your career. Have a servant’s heart. Some lessons weren’t coming from a screen or projector and I considered these some of my favorite lessons because they spoke more about human character. A perfect example is when the Codeup staff noticed a need in our community and decided to share their passion for service with all San Antonians. The office staff volunteered to serve at the San Antonio Food Bank. This was one of the unspoken teachings Codeup shared with me – these amazing individuals create an environment where you can grow in skill and as a human being. Kudos to them! I will iterate once again that Codeup will not force you to do something you don’t want to do. As a newly placed member of this ecosystem and a Codeup graduate I would like to ask Codeup fellows and members of the community to ponder, “How are we contributing to the San Antonio ecosystem?” Having the heart of a servant is something Codeup can’t force you to do, but is a skill necessary to achieve self growth and development. Don’t eat the tacos!  via GIPHY Codeup is geared to focus on your professional life, and not your waistline. The Codeup family loves to spoil the cohorts with food, they must know the way to a developer’s heart. The morning tacos, the pizza, and snacks should be enough to lure you into the Vogue building. I loved every bite and sip of these delicious perks. However I do have to confess I gained a few pounds during my time at Codeup. I was also on a budget so the ramen noodle isle at the Walgreens became very familiar. Now that I look back I wish I only had one slice of pizza instead of my usual three. One of the hardest parts of my Codeup journey was finding time to exercise. Taking care of myself felt impossible in this intense immersive environment, but believe me when I say “It is possible!” This was thanks to one of my colleagues, who insisted on completing daily reps of stairs up and down the Travis Park garage.I felt instant restoration after just a few days of exercise. This simple exercise routine helped me deal with stress and gave me enough time to meditate on the things that pushed me towards triumph. Don’t bite the hand that feeds you. The saying “Don’t bite the hand that feeds you” has stuck with me since I was thirteen years old, and made the dumb decision to complain about my job in front of my dad. My dad was not fond of me complaining of the man who signed my checks, so he shared a lesson behind his belligerent words. This made me realize that my ego was blocking my ability to humble myself, and that I needed to be thankful to the people that were trying to help me. His wise words taught me to stay loyal to those who become part of my upbringing. This saying has stuck with me ever since, and I decided to mark it as a special lesson. A lesson I could only acquired through experience. I realize now the same goes with any organization or relationship that we hold, professional or non professional. We should be able to acknowledge where our loyalties stand, and if we are giving the proper amount of recognition to those who have helped us. The Codeup staff did everything in their power to plug me into a bigger network of opportunities. Lastly, I was exposed to a network of genuinely loving, and caring people. These amazing benefits make me appreciate the Codeup program so much more. I walked in with the desire to learn computer programming. I am leaving with the ability and skills that say “I am a software developer!”"
The Message Behind Our Billboards,"You may have seen Codeup’s billboards around town featuring recent career transitioners. We’ve featured former law students, baristas, hair stylists, military veterans, and more. We’ve recently heard that the advertising has offended people from those professions, so we want to explain our message more clearly. Codeup’s mission is to help individuals in transition change their futures by providing a fast and effective entry point into a tech career. We believe that everyone should have access to the new tech economy, and that you don’t need any specific background to do so. That’s why we feature REAL graduates of our program who have started new careers from a diverse set of backgrounds. Luke used to be a soldier, Mars was a barista and bartender, John was studying law, and Sukari was a hairstylist. We’re not saying those weren’t real jobs! And we’re not saying software development is better for you. We ARE saying that each of our students chose software development for their own reasons. We highlight those stories to show that YOU, regardless of what career you have now, CAN become a software developer IF that’s what you want. Don’t just listen to us – listen to the real students whose stories are up on those billboards! PREVIOUS HAIRSTYLIST AND CODEUP ALUMNA, SUKARI S., EXCITED TO SEE HER BILLBOARD COPY GOING UP THIS PAST MAY! Sukari S. (Previously a Hair Stylist): “I discovered I really liked software development: the process, the code… I wanted to immerse myself fully into it, so I decided to go to Codeup to better myself with a new career. Codeup changed my life for the best. It made my career transition as smooth as possible, and I’m super grateful. Now I have weekends back to spend with my toddler son!” John H. (Previously studying Law): “I was in law school simply for the reason it seemed like the next logical step for my degree. Like a lot of people trying new things, once I got into it I discovered it wasn’t for me. When I started seeing the Codeup billboards, it gave me another option for something I could do that I had never tried before. It was something that could offer me a good, solid, steady career that I hadn’t considered. By no means is a law degree bad – lots of people are lawyers and take care of themselves. It’s just that Codeup was there to offer an alternative when I needed one.” Amy Y. (Previously an Admissions Counselor): “I went into higher education because I had so many years of personal experience going through admissions, applying for financial aid, and planning my degree plan, and I enjoyed helping others through this process as well. However, even with a Master’s degree, I was in very entry-level positions and struggled for many years to advance to higher positions. I didn’t feel like my skill set or passion was being appreciated, so a programmer friend of mine directed me to Codeup. The transition into the tech industry has been life changing, and as a programmer in my current job, I feel personally valued on a daily basis. The path for growth and advancement is clear, and I’m never looking back!” We believe that each person should choose their own path, and degrees and diplomas don’t define you. If you’re happy in your career, that makes us happy! If you’re not happy in your career, call us, and we’ll do everything we can to help you build a better tomorrow."
Skills Fund: Financing to Fuel Your Codeup Future,"Picture this: You’re making a change. You’ve made a life-changing decision to attend Codeup in order to switch up your career or jumpstart your skills. You’re on your way to a transformed life – with just one barrier in the way: paying for your Codeup tuition and cost of living. Codeup is focused on two things: you and your success. Their curriculum is designed by experts and regional employers, the coursework is taught by the best instructors around, and they have a track record of successful graduates. Skills Fund is focused on two things: you and your success.  Take what you’ve heard about or experienced with student loans, and throw it out the window. Whether you’ve proudly served our country and you’re ready to enter the workforce, you’re just starting your career, looking for a career switch, or upskilling, we’re providing a return on education by only partnering with bootcamps and schools that provide impactful, proveable outcomes to their students. “Tuition is the number one concern that applicants have coming into Codeup, and having a trusted lending partner like Skills Fund to direct them to is extremely beneficial.  As an Admissions Manager, I am confident that Skills Fund is providing a great experience to our students and offering a great product to help them cover their tuition costs.” -Mario, Codeup Admissions Manager  What does this mean? We’ve partnered with Codeup to provide clear-cut, fully upfront, and transparent financing for tuition and living expenses. Eligible students may borrow up to $21,500 for tuition and $6,000 for cost of living. But – a student loan? We get it. Traditionally, loans have been confusing – and unnecessarily so. We’re on a mission to be transparent, up-front, and honest about all the terms involved with our financing. We’re the only lender that provides all details of your financing before you even apply. Students may discover their rate (interest rate + general APR) and monthly repayment amount using our loan calculator on our partnership website. How will I repay? While you’re attending Codeup and for two months of grace afterwards, you’ll make low, interest-only payments towards your loan balance. After your grace period ends, you’ll begin full repayments. We’re betting on your future, so there should be no strings attached: you can pay your loan off at any time with no prepayment penalties. How does it work? The simple process takes just four steps. What if I have most of my tuition covered, and only need to borrow a small amount to attend? With Skills Fund, you can borrow as little as $2,000 towards your tuition. You can calculate your monthly repayment online to understand what you would need to contribute to your financing per month. What if I have a low credit score? Skills Fund believes in you and your future, and that is reflected in our underwriting. If you’re credit denied, you may be eligible to apply again with a cosigner. To learn more about Skills Fund financing for Codeup, visit our partnership website or email us at CustomerTrust@Skills.Fund. LEARN MORE"
Women in Tech Scholarship Recipient: Amy,"One thing that I can proudly say after this whole Codeup process is that I survived (and thrived) as an independent woman, although not without serious help from others!  This is my opportunity to thank those who have helped, including Codeup for generously offering me their Women in Tech Scholarship.  Before Codeup, I was working full-time in another industry with a low salary.  I lived alone and was paying for all my rent and bills on my own, with no partner or parents for financial support.  In my field at the time, I struggled for years seeking advancement and growth opportunities from an industry that did not seem to value my skill set. Even given that stressful mindset, the idea of forfeiting my only source of income for several months to attend Codeup was extremely scary.  To justify this, I spent a lot of time researching, including attending Codeup sponsored events, and reaching out to Codeup alumni and friends in the tech industry for their opinion.  Still, with all the encouragement in the world, my objections were:   Let me just go ahead and assure you that everything worked out – very well, in fact!  I made the leap of faith and decided to join the Redwood cohort. Here is my first person to thank: a male friend of mine who has been a programmer for years, who strongly encouraged me that this was a great direction for me to take to secure fulfillment and my continued independence.  I struggled to find statistics on this, but I have heard many similar stories from women about the men in their lives (friends, family, boyfriends, husbands) who work in the tech industry and encouraged them to learn to code. On the first day of class, I counted: 6 women out of 23 total students.  Not bad! Despite the fact that these women were of different ages, marital statuses, careers, and stages of life, we all quickly bonded.  Within the first few weeks, we even planned our own Girls Night Out at a bar across the street from campus (that the guys from our cohort crashed, and I don’t think anyone was upset about that)!  We also all participated in Codeup’s weekly women’s lunches, with featured female speakers who were alumnae or from the tech industry. Throughout the entire 18 strenuous weeks, these women and I supported and checked in with each other. Luckily, everyone in our cohort did the same, no matter the gender.  Thank you for this, Redwood women and men!   To make a long story short, I was hired as a full stack developer a month before my graduation, with a decent pay bump from my previous career, and am now working in my second job in the field (yet another pay bump!) where I feel personally valued on a daily basis.  All of this, less than a year since starting Codeup!  As my final thank you, I am extremely grateful to Codeup for awarding me their Women in Tech scholarship, because it significantly reduced the loan amount I needed to attend, helped relieve a little bit of the anxiety of paying for Codeup, gave me more incentive to attend, and confirmed that I indeed was exactly what Codeup and employers were looking for in students and coders. If you’re a woman who desires independence and self-fulfillment, Codeup is worth it!  Make sure to apply to the scholarship during your admissions process and feel free to reach out to me or other female alumnae if you want to hear more about our experiences before, during, and after Codeup.   — Amy is very proud to say she is currently the only female developer employee working on Whataburger’s first ever online ordering platform. She has a Master’s degree in Music Theory and keeps that knowledge fresh by analyzing music on the radio during her daily commute. Since learning to code, what she enjoys the most is mentoring new developers."
Anxious About the Job Fair,"I hope you’ve got your resumes ready, because Codeup’s bi-annual Tech Job Fair is coming back this Fall! For most people, this is an exciting event, full of opportunity and new beginnings. While for some, the words “Job Fair” provoke anxiety and a deep-seated fear of proper handshaking.  (via GIPHY) To help a few of you entry-level folks out there, I sat down with my boss Fred Tawil – President of Swipetrack Solutions – and asked him if he had some advice for anyone attending the Job Fair in September. Interview With the Boss How did you get into tech? I taught myself how to program years and years ago. When I graduated as a political science major, I needed something to do. My dad owned bingo halls and he needed a player tracking system, so I figured okay, I’ll make a player tracking system. I taught myself how to program, I built the kiosk and built the software to run the player tracking. As someone who didn’t formally study something like CS, what has been the most difficult thing about managing a bunch of programmers?  I don’t know. Everybody has their own method of programming and development. It’s that balancing act between getting something done quick and getting it done right. It’s figuring out how much time we can spend making it reliable versus getting it deployed. That’s true. There’s always something new coming out in this industry. Yeah, it’s always good to keep an eye out on what’s coming up, that way you’re not stuck when something gets depreciated or reaches its end-of-life. When you’re hiring, do you typically read everyone’s resumes? It depends. We typically glance at them. I understand that a lot of Codeup grads weren’t in tech and are trying to move into it. That’s actually good for us, especially as a small company. We like to see previous work history so we can hire someone with multiple skills. Back when you were conducting the interviews yourself, what are some things that would make a candidate stand out to you? Most of the time when we’re hiring, we get a lot of competent coders that come to see us, and we see lots and lots of resumes. But an important thing for us now is, will this person fit in with the environment and will they like working here? When it comes down to the interview, you can be a competent coder, but what we want to know is if you’ll mesh with the group of people here and if you’re someone we can work with day to day. How important would you say it is for someone to have a personal website and to have recent commits on GitHub? I can tell you we looked at everyone’s personal website if their resume looked good. GitHub accounts not so much, because a lot of the time when someone is coming from a coding bootcamp they’re all the same. A lot of the websites also looked similar, but if there was a way that you set yours apart, we saw those and those were pretty interesting. For us it’s not so much what you did while you were at Codeup, it’s what else you did. Show me that you really enjoy programming and that you do it in your free time, as opposed to just looking for a higher paycheck. Do you have any apps in the App store, or a web application you made? Did you actually spend time on your website? I can tell you we do look at the source code and make sure if we’re hiring somebody that they didn’t just use a theme they bought on the internet and are pretending they built it. It’s very easy to tell. Do you have any advice for anyone who is nervous about going to their first Tech Job Fair?  It might be different, but I think it’s more laid-back. I would say to just relax. The three or four times we did it, we enjoyed talking to people and finding those whose personalities stood out. So be relaxed, enjoy it, and just talk. From Personal Experience   I clearly remember attending my first Tech Job Fair back in 2017, only because I was extremely anxious every day leading up to the event. I would go to Geekdom after class and had late nights to make sure that my website and online profiles were ready to go. Once the day came and I got there, my first thought was to run back to the car. (Image: Tenor) Three Easy Steps Whether you’re planning to attend the Tech Job Fair to find employment or to network, it’s completely normal to be a little worried about it. So here’s my advice: I can vouch for the importance of doing a little research before attending. Make sure to look at the list of companies who will be there and make a mental note of those that really interest you. You’ll be better off and more prepared to ask all the right questions. If you’re not quite sure how, “Hello, my name is…” goes a long way. This is the step that most people forget. If you find a place that you fall in love with, you need to follow up. Why wouldn’t you? That would be like falling head over heels for someone on the first date and forgetting to call. There are plenty of fish in the sea and a simple email thanking them for their time could be the reason they remember your name. Pro Tip: If you’re currently in Codeup, you can even invite them to Demo Day and have another shot at impressing them with your new skills.  via GIPHY Bottom Line Most importantly, STAY TRUE TO YOURSELF. Getting hired into a new company is a lot like entering a new relationship. Companies want to hire someone they can get along with everyday – someone who values their work and the company culture. Ultimately, you want to be hired by people who “get” you. It’s usually easy to tell when someone is not being genuine, so avoid pretending to be someone you’re not. Put yourself out there, smile and most of all, bring some hand-sanitizer because you’re going to be shaking a lot of hands.     —"
Codeup Student Check In: Month 1,"Codeup welcomed our newest cohort, the Wrangell cohort, on July 23. With the start of this cohort, we are launching a new blog series: the Codeup Student Check In. We’ll interview a student over the course of the 4.5 months to see how things are progressing from first impressions all the way to graduation. Thus, welcome to the Codeup Student Check In: Month 1! We took the time to sit down with our Wrangell student to see how they’ve been doing so far! Codeup: How did you hear about Codeup? Why did you want to apply?
Wrangell Student: My first encounter with Codeup was during a drive downtown. I’m glancing at billboards while I’m driving and I see Codeup on one of the billboards. I remember thinking I wasn’t fully satisfied with my position in life, and my future goals aligned with Codeup’s mission. So I took a risk and applied. C: What was the application process like?
S: The application process is very easy to understand. You apply directly on the website, and a member of the team reaches out to you. There are a few steps in the process itself, including an interview, a campus visit and a skills assessment. C: Tell us about any financing options/grants/scholarships you received. Did you owe anything out of pocket?
S: I’m very happy to report my expenses are fully covered by a few grants and scholarships. The City of San Antonio Workforce Solutions grant, the Alamo College Techworks grant, and the Women’s Scholarship all helped to cover the cost so that I paid nothing out of pocket. C: Describe a typical day for you from start to finish
S: We start off with announcements and then what we call “push-ups,” which are morning exercises to practice our chops. Sometimes we work on yesterday’s assignment, or we  jump straight into lecture. After lecture we practice the material with an exercise. Then we have a lunch break. After lunch we come back and listen to afternoon announcements. We have lecture time again, followed by another exercise. C: Describe what you’re learning right now. Is it hard/fun/challenging?
S: Right now we are learning how to interact with the Google Maps API. This is probably the most challenging thing we’ve gone over so far. It’s very different extracting and working with code that is not your own. It feels like learning coding conventions all over again. But it’s still a lot of fun! C: How has the learning process/information gathering been?
S: The learning process has been amazing. We use the Codeup curriculum website in combination with other resources, such as developer websites, and program documentation. C: What has been the most memorable part of this month?
S: It is empowering seeing a project idea go from a blank slate to  a full functioning program. The most memorable part of this month was the first time I ran a program and saw all the colors and components jump out at me on the screen. C: How do you feel your skill level compares to when you started?
S: My skill level has definitely increased compared to where I was initially. I think one of the most valuable things I’ve been taught are the tools that developers use on a daily basis such as Github, git, Node, the IntelliJ IDE and more. C: How have the instructors been helpful?
S: The instructors are very receptive to feedback. They recognize that their students are extremely diverse with different skill levels, and respond in an understanding manner. They also encourage us to work hard for a problem answer, rather than just giving it to us outright. C:  Can you share a fun experience you have had this month?
S: It is so much fun talking to my classmates and realizing how kind and open they are. I initially wanted to be alone on my lunch break, but then I had so much fun eating lunch with my classmates! I feel that Codeup is even helping me overcome my shy nature, and feeling the change within myself is fun and enlightening."
Announcing Our New Minorities in Tech Scholarship,"By Kyra Seegmiller We have exciting news! Today launches our latest scholarship available for students – the Minorities in Tech Scholarship! There are startling statistics about minorities in the tech industry. While we aren’t located in Silicon Valley, we want to continue fostering and cultivating inclusive growth in not just the tech industry, but San Antonio as well. This scholarship joins our continuously growing list of scholarships, including ones for women, veterans, first responders, and the LGBTQIA+ community, and we are committed to our city and the emerging economy."
